u,v,L
536.8435436868343,-0.9761432113729562,60
639.4387889362093,-16.36541065703031,60
755.2034893993269,-33.73010666399063,60
884.2360071031663,-53.0849801561113,60
1025.9588669818193,-74.3434072647653,60
1178.9662817532476,-97.29451865631061,60
1340.9429869582057,-121.59102408290721,60
1508.6994011452975,-146.75448606255614,60
1678.3520516850979,-172.2023835829437,60
1845.6445901554673,-197.2962643294372,60
2006.3624340521187,-221.40394090464355,60
2156.7602011031363,-243.96360595880944,60
2293.912419828312,-264.53643876631423,60
2415.920208234289,-282.83760702676005,60
2521.949895361309,-298.7420600956577,60
2612.124600272396,-312.26826583226864,60
2687.319462878016,-323.54749522309453,60
2748.9189694267707,-332.78742120540227,60
2798.584812838381,-340.2372977171421,60
2838.0643321002335,-346.1592256064195,60
2869.051347332034,-350.80727789118947,60
2893.0979244714676,-354.41426446210437,60
2911.5683232474626,-357.1848242785037,60
2925.6239572353074,-359.2931693766803,60
2936.2287912516335,-360.88389447912925,60
2944.1666054069137,-362.0745666024213,60
2950.06388981474,-362.9591592635952,60
2954.4142299052533,-363.6117102771723,60
2957.601684096665,-364.08982840588396,60
2959.9218274237946,-364.43784990495345,60
2961.5999097100594,-364.6895622478932,60
2962.806052300893,-364.8704836365182,60
2963.667673494153,-364.9997268155072,60
-178.8908742123627,-421.26432046754957,70
-178.82194460024647,-420.48508019376413,70
-178.72630540442637,-419.5042857720785,70
-178.59852351192353,-418.2629388262168,70
-178.4310307226866,-416.6822709972055,70
-178.21344511708054,-414.6567406005426,70
-177.93162738298844,-412.04457196181966,70
-177.56639167408596,-408.6551433123863,70
-177.09178177214793,-404.2325532385404,70
-176.4728381971251,-398.4350290691282,70
-175.6628547347601,-390.81086063769527,70
-174.6003179300967,-380.7739172916944,70
-173.20614475928804,-367.5865420254532,70
-171.38261070874387,-350.36578283796746,70
-169.01654262981452,-328.14039402028544,70
-165.99061010161688,-299.9962936842567,70
-162.20664596358006,-265.34319668187965,70
-157.62139943114838,-224.2902247649283,70
-152.28575909090563,-178.01669608068983,70
-146.3661356336342,-128.90775713681708,70
-140.12362720801988,-80.22626303765891,70
-133.84603481366452,-35.328867114533296,70
-127.76158083622126,3.220322527896159,70
-121.97893831345299,34.17625134363667,70
-116.47763192654513,57.58474455828583,70
-111.13827750415992,74.36787249134105,70
-105.78549502043789,85.8275191973733,70
-100.22259444968387,93.27258316079424,70
-94.25093162078026,97.82076866101015,70
-87.67603198953888,100.33553709789292,70
-80.30534506705409,101.43889667347415,70
-71.9417339177274,101.5546935483571,70
-62.37517346889545,100.95672080172403,70
-51.373804532573665,99.81036579851063,70
-38.67469084090138,98.20458142000967,70
-23.974235499216373,96.17463930321901,70
