0,1,2
521.770390189,-9.58699151106,-0.774390376393
521.909836465,-7.54502243151,-0.583240236386
522.02064541,-5.91744367313,-0.432076713998
522.109466581,-4.60888065446,-0.311471411877
522.179848991,-3.56882163144,-0.216339367999
522.233460266,-2.77433635976,-0.144182997623
522.273716184,-2.17655211024,-0.0901682268444
522.304313832,-1.72166489179,-0.0491868397309
522.328599758,-1.36029224004,-0.0167044108797
522.34813254,-1.06945981405,0.0093940121129
522.363997457,-0.83319159949,0.030583272171
522.37685068,-0.641788115085,0.0477500930698
522.387276166,-0.486540729795,0.0616737873062
522.395592518,-0.36270435133,0.072780401
522.401860557,-0.269370581632,0.0811512811634
522.406526009,-0.199901085215,0.0873818383464
522.410067473,-0.147168597656,0.0921112919643
522.412994632,-0.103583513082,0.096020337358
522.415419398,-0.0674792817271,0.0992584417497
522.417407967,-0.0378701023755,0.101914020211
522.419010594,-0.0140075859632,0.104054193182
522.420297994,0.00516123791947,0.105773399871
522.421315537,0.020311951699,0.107132231838
522.422074052,0.0316058416297,0.108145154371
522.422637421,0.039994097862,0.108897477397
522.423055427,0.0462179689931,0.109455681652
522.423358537,0.0507311028311,0.109860453915
522.423574993,0.0539540021577,0.110149508205
522.423733866,0.0563195245802,0.110361666387
522.423875319,0.058425666682,0.110550561389
522.424001553,0.0603052155323,0.110719133638
522.424115964,0.0620087325271,0.110871918058
522.424194509,0.0631782140676,0.110976806111
522.424276866,0.0644044513185,0.111086784455
522.424304699,0.0648188743829,0.111123953092
0.0,-0.0,-0.0
0.00923271931849,0.00728681036292,-0.0541103917882
0.0202512117998,0.0159108858658,-0.118705507035
0.0386093626346,0.0302182569264,-0.226336778199
0.0645306390669,0.0503091364927,-0.378299547074
0.10259276642,0.0796389521198,-0.601670692654
0.15692953504,0.121334298569,-0.920847176042
0.233112978253,0.179673764177,-1.36828932979
0.347805535876,0.267309589313,-2.04205134017
0.529156453977,0.405416057669,-3.10768428821
0.834974816361,0.63715203049,-4.90431956758
1.3692103654,1.0406211943,-8.04430950481
2.25170680744,1.70536513718,-13.2342524936
3.50214724133,2.64309439528,-20.5896271857
5.38321469086,4.0423104623,-31.6533809677
8.34265323367,6.2246323565,-49.0584182358
12.0601499635,8.93353151876,-70.9213145852
16.2337264794,11.9251095937,-95.4540292209
21.0040494532,15.2559247127,-123.437332264
26.4004312226,18.8685621241,-154.964057562
32.2016704561,22.5510756271,-188.661268862
38.200060074,26.108016704,-223.241516015
44.6824902082,29.6132372334,-260.256265227
51.6661557318,32.9707379473,-299.669045146
59.0184907274,36.0034018845,-340.58667665
66.5383583992,38.5111657926,-381.780456466
74.1921725589,40.3558616829,-422.943371881
82.0291779018,41.4100688844,-464.193935933
89.9149767516,41.5385515005,-504.698973534
97.8385449564,40.6447382124,-544.261222753
105.842560773,38.6345562069,-582.908505808
113.868751346,35.4662309987,-620.163024536
121.928353721,31.0899654887,-655.7792368
130.081847429,25.4037205108,-689.61492757
138.4544545,18.2422849706,-721.786362111
147.123111817,9.4361307574,-752.115291899
156.101945544,-1.16670982948,-780.099854614
165.203187626,-13.4736302053,-804.71819579
174.379091278,-27.4296931582,-825.534744021
183.716730475,-43.117612377,-842.467151834
193.437911198,-60.9752292911,-855.475313233
203.677094983,-81.396835128,-864.115569865
214.468436395,-104.58986962,-867.715245111
225.866485287,-130.77421578,-865.583902884
237.842851161,-159.892160104,-857.087086765
250.304780175,-191.555377631,-841.84615974
263.14149953,-225.144201661,-819.861192338
276.217354201,-259.837511169,-791.585447365
289.362310248,-294.645373342,-757.954779998
302.515471184,-328.847692476,-719.891932583
315.599612466,-361.703365748,-678.431945011
328.522221703,-392.502953486,-634.657463193
341.060982383,-420.438361783,-590.091361112
353.065575635,-445.01577253,-545.982136934
364.539202602,-466.153713317,-502.909404312
375.542259881,-483.88606803,-461.095201054
386.114560143,-498.219779258,-420.723089176
396.254079217,-509.109293531,-382.051071996
405.907947315,-516.49979344,-345.461609931
415.037373091,-520.404584391,-311.223133159
423.66301342,-520.920497585,-279.32990287
431.801742173,-518.149179552,-249.755464339
439.470095643,-512.2007548,-222.44958605
446.671693512,-503.219109585,-197.388441405
453.457788231,-491.291062698,-174.37145397
459.869661911,-476.496185311,-153.230951005
465.910168652,-458.981387675,-133.924692591
471.515716114,-439.198984362,-116.601025867
476.634230583,-417.693563401,-101.346004719
481.288062849,-394.858073106,-88.0011159385
485.569516103,-370.675433403,-76.2222636188
489.5704393,-345.060455033,-65.6852262355
493.290654926,-318.472208415,-56.3171570099
496.728083212,-291.365927387,-48.0524009562
499.881048042,-264.199548589,-40.8238069399
502.762806681,-237.391515157,-34.5192227974
505.378369594,-211.38743607,-29.0531774281
507.734839514,-186.566234259,-24.3430505122
509.848274766,-163.173805159,-20.2937046918
511.718844363,-141.576229845,-16.848247374
513.34755759,-122.075437867,-13.9558006219
514.752782662,-104.715367378,-11.5428013308
515.968143713,-89.2770584338,-9.52071584268
517.030244832,-75.4458672399,-7.80526002214
517.953241689,-63.1597512616,-6.35482003696
518.744116903,-52.4295578338,-5.1425901417
519.408142683,-43.2709294313,-4.14720694518
519.960961755,-35.5433595975,-3.33395312537
520.42041899,-29.0496115,-2.66875614629
520.804110972,-23.5752567932,-2.12097271365
521.121769886,-19.0073571721,-1.67281323766
521.38304543,-15.2269882714,-1.307717323
521.596860306,-12.1192898204,-1.01110877166
521.770384708,-9.58733678636,-0.771897390001
521.909830987,-7.54536590659,-0.580748218532
522.020639934,-5.91778571536,-0.42958546657
522.109461107,-4.60922154607,-0.308980782654
522.179843518,-3.56916160942,-0.213849229188
522.233454794,-2.7746756404,-0.141693232764
522.273710713,-2.1768908665,-0.0876787429909
522.304308362,-1.72200324919,-0.0466975695526
522.328594288,-1.36063028068,-0.0142153103531
522.34812707,-1.06979759983,0.011882976161
522.363991989,-0.833529178262,0.0330721253627
522.376845212,-0.64212552618,0.0502388564548
522.387270698,-0.486878004903,0.0641624778494
522.39558705,-0.363041517975,0.0752690334394
522.401855089,-0.269707666536,0.0836398698106
522.406520541,-0.200238109281,0.0898703943991
522.410062005,-0.147505575543,0.0945998232749
522.412989164,-0.103920452803,0.0985088482179
522.41541393,-0.0678161898321,0.101746935671
522.417402499,-0.0382069845533,0.10440250024
522.419005126,-0.0143444472462,0.106542662015
522.420292527,0.00482439342124,0.10826185971
522.421310069,0.0199751204668,0.109620684568
522.422068584,0.0312690202862,0.110633601802
522.422631953,0.0396572838635,0.111385920892
522.423049959,0.0458811604442,0.111944122227
