"Ethnic.Group","ANZSOC.Division","ANZSOC.Group","ANZSOC.Subdivision","Mop.Division","Mop.Group","Mop.Subdivision","SEX","Date"
"Maori","Traffic and Vehicle Regulatory Offences","Drive Without a Licence","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive Without a Licence","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Regulatory Driving Offences, N.E.C.","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Harassment and Private Nuisance","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping","Abduction and Kidnapping","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Harassment and Private Nuisance","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
